Product ID,Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method,Rating,Reviews
P022,10022,2024-01-22,Books,The Great Gatsby,5,10.0,50.0,North America,PayPal,1,A terrible experience. The product is not as described.
P023,10023,2024-01-23,Beauty Products,Dior Addict Lip Glow,1,35.0,35.0,Europe,Credit Card,1,A terrible experience. The product is not as described.
P024,10024,2024-01-24,Sports,Fitbit Charge 5,1,149.95,149.95,Asia,Debit Card,1,Very disappointed with the quality. Broke almost immediately.
P025,10025,2024-01-25,Electronics,MacBook Air M2,1,1199.0,1199.0,North America,Credit Card,0,Does not work as advertised. Extremely frustrating.
P026,10026,2024-01-26,Home Appliances,Air Fryer,2,89.95,179.9,Europe,PayPal,4,I'm so happy with this. It's exactly what I wanted.
P027,10027,2024-01-27,Clothing,The North Face Jacket,1,250.0,250.0,Asia,Credit Card,1,A complete failure. I had to return it.
P028,10028,2024-01-28,Books,Sapiens: A Brief History of Humankind,3,22.0,66.0,North America,Debit Card,5,Brilliant! I would definitely buy this again.
P029,10029,2024-01-29,Beauty Products,Supergoop! Unseen Sunscreen,2,34.0,68.0,Europe,Credit Card,2,Decent for the price, but could be better.
P030,10030,2024-01-30,Sports,Peloton Bike,1,1445.0,1445.0,North America,PayPal,5,Love it! The design is great and it's very effective.
P031,10031,2024-01-31,Electronics,GoPro HERO11 Black,1,499.99,499.99,Europe,Credit Card,4,Excellent quality and value. Highly recommend.
P032,10032,2024-02-01,Home Appliances,Blender,3,45.5,136.5,Asia,Debit Card,0,Fell apart after just one use. Absolute junk.
P033,10033,2024-02-02,Clothing,Uniqlo Airism T-shirt,5,19.9,99.5,North America,Credit Card,5,Five stars! The best purchase I've made this year.
P034,10034,2024-02-03,Books,Atomic Habits,4,16.99,67.96,Europe,PayPal,1,The quality is shocking. Avoid this product.
P035,10035,2024-02-04,Beauty Products,The Ordinary Niacinamide,3,6.5,19.5,Asia,Credit Card,1,Fell apart after just one use. Absolute junk.
P036,10036,2024-02-05,Sports,Wilson Evolution Basketball,2,59.99,119.98,North America,Debit Card,5,Brilliant! I would definitely buy this again.
P037,10037,2024-02-06,Electronics,Amazon Kindle Paperwhite,1,139.99,139.99,Europe,Credit Card,0,The item arrived damaged and unusable.
P038,10038,2024-02-07,Home Appliances,Electric Kettle,2,25.0,50.0,Asia,PayPal,4,Absolutely fantastic! Exceeded all my expectations.
P039,10039,2024-02-08,Clothing,Dr. Martens 1460 Boots,1,150.0,150.0,North America,Credit Card,4,A truly wonderful product. I'm very impressed.
P040,10040,2024-02-09,Books,Where the Crawdads Sing,3,14.99,44.97,Europe,Debit Card,0,This product did not work at all. A complete waste of money.
P041,10041,2024-02-10,Beauty Products,Glow Recipe Watermelon Glow,1,34.0,34.0,Asia,Credit Card,1,A terrible experience. The product is not as described.
P042,10042,2024-02-11,Sports,Manduka PRO Yoga Mat,1,120.0,120.0,North America,PayPal,1,The quality is shocking. Avoid this product.
P043,10043,2024-02-12,Electronics,iPad Pro,1,799.0,799.0,Europe,Credit Card,0,This product did not work at all. A complete waste of money.
P044,10044,2024-02-13,Home Appliances,Toaster,4,30.0,120.0,Asia,Debit Card,1,A complete failure. I had to return it.
P045,10045,2024-02-14,Clothing,H&M Hoodie,3,24.99,74.97,North America,Credit Card,5,A truly wonderful product. I'm very impressed.
P046,10046,2024-02-15,Books,The Silent Patient,2,13.99,27.98,Europe,PayPal,4,Works perfectly and is incredibly well-made.
P047,10047,2024-02-16,Beauty Products,Laneige Lip Sleeping Mask,2,22.0,44.0,Asia,Credit Card,1,Does not work as advertised. Extremely frustrating.
P048,10048,2024-02-17,Sports,Gaiam Yoga Block,2,10.99,21.98,North America,Debit Card,1,The item arrived damaged and unusable.
P049,10049,2024-02-18,Electronics,Bose SoundLink Revolve,1,199.0,199.0,Europe,Credit Card,5,Excellent quality and value. Highly recommend.
P050,10050,2024-02-19,Home Appliances,Microwave Oven,1,99.99,99.99,Asia,PayPal,0,A complete failure. I had to return it.
P051,10051,2024-02-20,Clothing,Zara Dress,1,79.9,79.9,North America,Credit Card,4,Excellent quality and value. Highly recommend.
P052,10052,2024-02-21,Books,Becoming by Michelle Obama,3,18.99,56.97,Europe,Debit Card,1,A complete failure. I had to return it.
P053,10053,2024-02-22,Beauty Products,Charlotte Tilbury Pillow Talk Lipstick,1,34.0,34.0,Asia,Credit Card,0,This product did not work at all. A complete waste of money.
P054,10054,2024-02-23,Sports,Resistance Bands Set,4,15.95,63.8,North America,PayPal,3,It works as described, but the quality is just so-so.
P055,10055,2024-02-24,Electronics,DJI Mini 3 Pro Drone,1,759.0,759.0,Europe,Credit Card,5,Five stars! The best purchase I've made this year.
P056,10056,2024-02-25,Home Appliances,Coffee Grinder,2,22.5,45.0,Asia,Debit Card,1,Does not work as advertised. Extremely frustrating.
P057,10057,2024-02-26,Clothing,Allbirds Wool Runners,1,95.0,95.0,North America,Credit Card,1,Very disappointed with the quality. Broke almost immediately.
P058,10058,2024-02-27,Books,Educated by Tara Westover,2,15.0,30.0,Europe,PayPal,4,A truly wonderful product. I'm very impressed.
P059,10059,2024-02-28,Beauty Products,Tatcha The Water Cream,1,68.0,68.0,Asia,Credit Card,4,Excellent quality and value. Highly recommend.
P060,10060,2024-02-29,Sports,Dumbbell Set,1,75.0,75.0,North America,Debit Card,0,I would not recommend this. It's poorly made.
P061,10061,2024-03-01,Electronics,Anker Power Bank,3,39.99,119.97,Europe,Credit Card,1,The item arrived damaged and unusable.
P062,10062,2024-03-02,Home Appliances,Rice Cooker,2,40.0,80.0,Asia,PayPal,4,A truly wonderful product. I'm very impressed.
P063,10063,2024-03-03,Clothing,Everlane The Day Glove,1,115.0,115.0,North America,Credit Card,1,I regret buying this. It's of very low quality.
P064,10064,2024-03-04,Books,The Alchemist,5,13.0,65.0,Europe,Debit Card,4,Brilliant! I would definitely buy this again.
P065,10065,2024-03-05,Beauty Products,CeraVe Hydrating Cleanser,4,14.99,59.96,Asia,Credit Card,1,The item arrived damaged and unusable.
P066,10066,2024-03-06,Sports,CamelBak Hydration Pack,1,85.0,85.0,North America,PayPal,1,This product did not work at all. A complete waste of money.
P067,10067,2024-03-07,Electronics,Logitech MX Master 3S Mouse,1,99.99,99.99,Europe,Credit Card,4,I'm so happy with this. It's exactly what I wanted.
P068,10068,2024-03-08,Home Appliances,Slow Cooker,1,49.99,49.99,Asia,Debit Card,1,I regret buying this. It's of very low quality.
P069,10069,2024-03-09,Clothing,Gucci Belt,1,460.0,460.0,North America,Credit Card,1,Very disappointed with the quality. Broke almost immediately.
P070,10070,2024-03-10,Books,The Four Agreements,3,7.99,23.97,Europe,PayPal,4,Works perfectly and is incredibly well-made.
P071,10071,2024-03-11,Beauty Products,Drunk Elephant C-Firma Day Serum,1,80.0,80.0,Asia,Credit Card,4,Love it! The design is great and it's very effective.
P072,10072,2024-03-12,Sports,Spalding NBA Street Basketball,2,24.99,49.98,North America,Debit Card,4,Works perfectly and is incredibly well-made.
P073,10073,2024-03-13,Electronics,Roku Streaming Stick 4K,2,49.99,99.98,Europe,Credit Card,4,Absolutely fantastic! Exceeded all my expectations.
P074,10074,2024-03-14,Home Appliances,Food Processor,1,120.0,120.0,Asia,PayPal,1,The quality is shocking. Avoid this product.
P075,10075,2024-03-15,Clothing,Ray-Ban Aviator Sunglasses,1,154.0,154.0,North America,Credit Card,0,The item arrived damaged and unusable.
P076,10076,2024-03-16,Books,The Hobbit,4,11.5,46.0,Europe,Debit Card,1,The quality is shocking. Avoid this product.
P077,10077,2024-03-17,Beauty Products,Kylie Cosmetics Lip Kit,1,29.0,29.0,Asia,Credit Card,4,Brilliant! I would definitely buy this again.
P078,10078,2024-03-18,Sports,Titleist Pro V1 Golf Balls,1,49.99,49.99,North America,PayPal,5,Love it! The design is great and it's very effective.
P079,10079,2024-03-19,Electronics,Nintendo Switch,1,299.99,299.99,Europe,Credit Card,0,This product did not work at all. A complete waste of money.
P080,10080,2024-03-20,Home Appliances,Waffle Maker,2,35.0,70.0,Asia,Debit Card,4,Absolutely fantastic! Exceeded all my expectations.
P081,10081,2024-03-21,Clothing,Canada Goose Jacket,1,995.0,995.0,North America,Credit Card,5,Brilliant! I would definitely buy this again.
P082,10082,2024-03-22,Books,The Catcher in the Rye,3,9.0,27.0,Europe,PayPal,4,A perfect product. Does everything it promises.
P083,10083,2024-03-23,Beauty Products,IT Cosmetics CC+ Cream,1,39.5,39.5,Asia,Credit Card,0,Does not work as advertised. Extremely frustrating.
P084,10084,2024-03-24,Sports,YETI Tundra 45 Cooler,1,299.99,299.99,North America,Debit Card,4,Excellent quality and value. Highly recommend.
P085,10085,2024-03-25,Electronics,Google Nest Hub,2,99.99,199.98,Europe,Credit Card,4,Love it! The design is great and it's very effective.
P086,10086,2024-03-26,Home Appliances,Hand Mixer,3,20.0,60.0,Asia,PayPal,4,Brilliant! I would definitely buy this again.
P087,10087,2024-03-27,Clothing,Birkenstock Arizona Sandals,1,135.0,135.0,North America,Credit Card,0,A terrible experience. The product is not as described.
P088,10088,2024-03-28,Books,A Game of Thrones,2,19.99,39.98,Europe,Debit Card,0,I would not recommend this. It's poorly made.
P089,10089,2024-03-29,Beauty Products,Morphe Eyeshadow Palette,1,25.0,25.0,Asia,Credit Card,3,Not bad, but not great either. It's just fine.
P090,10090,2024-03-30,Sports,Osprey Hiking Backpack,1,160.0,160.0,North America,PayPal,5,Five stars! The best purchase I've made this year.
P091,10091,2024-03-31,Electronics,Canon EOS R6 Camera,1,2499.0,2499.0,Europe,Credit Card,0,Does not work as advertised. Extremely frustrating.
P092,10092,2024-04-01,Home Appliances,Juicer,1,70.0,70.0,Asia,Debit Card,4,A truly wonderful product. I'm very impressed.
P093,10093,2024-04-02,Clothing,Converse Chuck Taylor,4,55.0,220.0,North America,Credit Card,0,Does not work as advertised. Extremely frustrating.
P094,10094,2024-04-03,Books,Pride and Prejudice,5,8.0,40.0,Europe,PayPal,4,Top-notch quality. You won't be disappointed.
P095,10095,2024-04-04,Beauty Products,MAC Ruby Woo Lipstick,2,19.0,38.0,Asia,Credit Card,4,Absolutely fantastic! Exceeded all my expectations.
P096,10096,2024-04-05,Sports,Theragun Mini,1,199.0,199.0,North America,Debit Card,4,Love it! The design is great and it's very effective.
P097,10097,2024-04-06,Electronics,Samsung The Frame TV,1,1499.99,1499.99,Europe,Credit Card,0,Very disappointed with the quality. Broke almost immediately.
P098,10098,2024-04-07,Home Appliances,Stand Mixer,1,299.99,299.99,Asia,PayPal,4,A perfect product. Does everything it promises.
P099,10099,2024-04-08,Clothing,Lululemon Scuba Hoodie,1,118.0,118.0,North America,Credit Card,4,I'm so happy with this. It's exactly what I wanted.
P100,10100,2024-04-09,Books,The Lord of the Rings,2,25.0,50.0,Europe,Debit Card,0,I regret buying this. It's of very low quality.
P101,10101,2024-04-10,Beauty Products,Olaplex No. 3 Hair Perfector,1,28.0,28.0,Asia,Credit Card,4,Excellent quality and value. Highly recommend.
P102,10102,2024-04-11,Sports,Pickleball Paddle Set,1,65.0,65.0,North America,PayPal,1,Very disappointed with the quality. Broke almost immediately.
P103,10103,2024-04-12,Electronics,Apple AirPods Pro,2,249.0,498.0,Europe,Credit Card,4,Excellent quality and value. Highly recommend.
P104,10104,2024-04-13,Home Appliances,Dehumidifier,1,180.0,180.0,Asia,Debit Card,3,I have mixed feelings about this product.
P105,10105,2024-04-14,Clothing,Gap T-shirt,6,15.0,90.0,North America,Credit Card,2,I have mixed feelings about this product.
P106,10106,2024-04-15,Books,Harry Potter and the Sorcerer's Stone,4,12.0,48.0,Europe,PayPal,4,Excellent quality and value. Highly recommend.
P107,10107,2024-04-16,Beauty Products,Estee Lauder Advanced Night Repair,1,75.0,75.0,Asia,Credit Card,0,Does not work as advertised. Extremely frustrating.
P108,10108,2024-04-17,Sports,Bowflex SelectTech 552 Dumbbells,1,399.0,399.0,North America,Debit Card,5,A truly wonderful product. I'm very impressed.
P109,10109,2024-04-18,Electronics,Microsoft Surface Pro 8,1,1099.99,1099.99,Europe,Credit Card,0,The quality is shocking. Avoid this product.
P110,10110,2024-04-19,Home Appliances,Espresso Machine,1,450.0,450.0,Asia,PayPal,4,Excellent quality and value. Highly recommend.
P111,10111,2024-04-20,Clothing,Vans Old Skool,3,60.0,180.0,North America,Credit Card,5,Brilliant! I would definitely buy this again.
P112,10112,2024-04-21,Books,Fahrenheit 451,5,10.0,50.0,Europe,Debit Card,4,A truly wonderful product. I'm very impressed.
P113,10113,2024-04-22,Beauty Products,Anastasia Beverly Hills Brow Wiz,2,23.0,46.0,Asia,Credit Card,5,Excellent quality and value. Highly recommend.
P114,10114,2024-04-23,Sports,Callaway Chrome Soft Golf Balls,1,49.99,49.99,North America,PayPal,5,A perfect product. Does everything it promises.
P115,10115,2024-04-24,Electronics,Dell XPS 15 Laptop,1,1699.99,1699.99,Europe,Credit Card,4,Brilliant! I would definitely buy this again.
P116,10116,2024-04-25,Home Appliances,Humidifier,1,55.0,55.0,Asia,Debit Card,1,Fell apart after just one use. Absolute junk.
P117,10117,2024-04-26,Clothing,J.Crew Sweater,2,89.5,179.0,North America,Credit Card,1,The quality is shocking. Avoid this product.
P118,10118,2024-04-27,Books,The Martian,3,15.0,45.0,Europe,PayPal,4,Excellent quality and value. Highly recommend.
P119,10119,2024-04-28,Beauty Products,NARS Radiant Creamy Concealer,1,30.0,30.0,Asia,Credit Card,3,It works as described, but the quality is just so-so.
P120,10120,2024-04-29,Sports,Schwinn Indoor Cycling Bike,1,899.0,899.0,North America,Debit Card,1,The quality is shocking. Avoid this product.
P121,10121,2024-04-30,Electronics,HP Envy 6055e Printer,1,129.99,129.99,Europe,Credit Card,1,I regret buying this. It's of very low quality.
P122,10122,2024-05-01,Home Appliances,Electric Toothbrush,2,79.99,159.98,Asia,PayPal,4,A perfect product. Does everything it promises.
P123,10123,2024-05-02,Clothing,Madewell Jeans,1,128.0,128.0,North America,Credit Card,4,I'm so happy with this. It's exactly what I wanted.
P124,10124,2024-05-03,Books,The Hunger Games,4,12.99,51.96,Europe,Debit Card,2,The product is average. Met my basic needs.
P125,10125,2024-05-04,Beauty Products,Urban Decay All Nighter Setting Spray,1,33.0,33.0,Asia,Credit Card,4,I'm so happy with this. It's exactly what I wanted.
P126,10126,2024-05-05,Sports,TriggerPoint GRID Foam Roller,1,34.95,34.95,North America,PayPal,5,A truly wonderful product. I'm very impressed.
P127,10127,2024-05-06,Electronics,Sonos One Speaker,2,219.0,438.0,Europe,Credit Card,2,Decent for the price, but could be better.
P128,10128,2024-05-07,Home Appliances,Water Filter Pitcher,3,29.99,89.97,Asia,Debit Card,4,Brilliant! I would definitely buy this again.
P129,10129,2024-05-08,Clothing,Aritzia Melina Pant,1,148.0,148.0,North America,Credit Card,1,The quality is shocking. Avoid this product.
P130,10130,2024-05-09,Books,Divergent,3,11.99,35.97,Europe,PayPal,4,Brilliant! I would definitely buy this again.
P131,10131,2024-05-10,Beauty Products,FARSÁLI Unicorn Essence,1,54.0,54.0,Asia,Credit Card,1,The item arrived damaged and unusable.
P132,10132,2024-05-11,Sports,Garmin Forerunner 245 Music,1,349.99,349.99,North America,Debit Card,0,A terrible experience. The product is not as described.
P133,10133,2024-05-12,Electronics,PlayStation 5,1,499.99,499.99,Europe,Credit Card,5,Brilliant! I would definitely buy this again.
P134,10134,2024-05-13,Home Appliances,Vacuum Sealer,1,60.0,60.0,Asia,PayPal,4,A perfect product. Does everything it promises.
P135,10135,2024-05-14,Clothing,Reformation Dress,1,218.0,218.0,North America,Credit Card,4,Absolutely fantastic! Exceeded all my expectations.
P136,10136,2024-05-15,Books,The Maze Runner,4,10.99,43.96,Europe,Debit Card,5,A truly wonderful product. I'm very impressed.
P137,10137,2024-05-16,Beauty Products,Glossier Boy Brow,3,16.0,48.0,Asia,Credit Card,4,Excellent quality and value. Highly recommend.
P138,10138,2024-05-17,Sports,TaylorMade SIM2 Max Driver,1,529.99,529.99,North America,PayPal,5,Five stars! The best purchase I've made this year.
P139,10139,2024-05-18,Electronics,Xbox Series X,1,499.99,499.99,Europe,Credit Card,5,Love it! The design is great and it's very effective.
P140,10140,2024-05-19,Home Appliances,Popcorn Maker,2,25.0,50.0,Asia,Debit Card,5,Brilliant! I would definitely buy this again.
P141,10141,2024-05-20,Clothing,American Eagle Jeans,2,49.95,99.9,North America,Credit Card,3,It's okay. It does the job but nothing special.
P142,10142,2024-05-21,Books,The Giver,5,9.99,49.95,Europe,PayPal,4,A truly wonderful product. I'm very impressed.
P143,10143,2024-05-22,Beauty Products,Becca Shimmering Skin Perfector,1,38.0,38.0,Asia,Credit Card,4,Excellent quality and value. Highly recommend.
P144,10144,2024-05-23,Sports,Rawlings Baseball Glove,1,79.95,79.95,North America,Debit Card,5,A perfect product. Does everything it promises.
P145,10145,2024-05-24,Electronics,LG C1 OLED TV,1,1799.99,1799.99,Europe,Credit Card,0,A terrible experience. The product is not as described.
P146,10146,2024-05-25,Home Appliances,Sous Vide,1,99.0,99.0,Asia,PayPal,4,Top-notch quality. You won't be disappointed.
P147,10147,2024-05-26,Clothing,Old Navy T-shirt,8,8.0,64.0,North America,Credit Card,1,The item arrived damaged and unusable.
P148,10148,2024-05-27,Books,The Road by Cormac McCarthy,2,14.0,28.0,Europe,Debit Card,4,Love it! The design is great and it's very effective.
P149,10149,2024-05-28,Beauty Products,Too Faced Better Than Sex Mascara,1,26.0,26.0,Asia,Credit Card,4,Absolutely fantastic! Exceeded all my expectations.
P150,10150,2024-05-29,Sports,Trek Marlin 5 Mountain Bike,1,549.99,549.99,North America,PayPal,5,Love it! The design is great and it's very effective.
P151,10151,2024-05-30,Electronics,Amazon Echo Dot,3,49.99,149.97,Europe,Credit Card,4,I'm so happy with this. It's exactly what I wanted.
P152,10152,2024-05-31,Home Appliances,Garment Steamer,2,30.0,60.0,Asia,Debit Card,4,Brilliant! I would definitely buy this again.
P153,10153,2024-06-01,Clothing,Free People Dress,1,168.0,168.0,North America,Credit Card,1,Fell apart after just one use. Absolute junk.
P154,10154,2024-06-02,Books,Gone Girl,3,13.0,39.0,Europe,PayPal,4,Brilliant! I would definitely buy this again.
P155,10155,2024-06-03,Beauty Products,Huda Beauty Desert Dusk Palette,1,65.0,65.0,Asia,Credit Card,4,A truly wonderful product. I'm very impressed.
P156,10156,2024-06-04,Sports,Easton Ghost Bat,1,349.99,349.99,North America,Debit Card,5,Brilliant! I would definitely buy this again.
P157,10157,2024-06-05,Electronics,Fitbit Versa 3,1,229.95,229.95,Europe,Credit Card,0,Does not work as advertised. Extremely frustrating.
P158,10158,2024-06-06,Home Appliances,Ice Cream Maker,1,50.0,50.0,Asia,PayPal,4,Excellent quality and value. Highly recommend.
P159,10159,2024-06-07,Clothing,Urban Outfitters Top,2,39.0,78.0,North America,Credit Card,2,There are better options out there, but this one is adequate.
P160,10160,2024-06-08,Books,The Girl on the Train,4,12.0,48.0,Europe,Debit Card,4,Absolutely fantastic! Exceeded all my expectations.
P161,10161,2024-06-09,Beauty Products,Milk Makeup Hydro Grip Primer,1,34.0,34.0,Asia,Credit Card,5,A truly wonderful product. I'm very impressed.
P162,10162,2024-06-10,Sports,Bauer Vapor HyperLite Hockey Stick,1,299.99,299.99,North America,PayPal,5,A perfect product. Does everything it promises.
P163,10163,2024-06-11,Electronics,Garmin Dash Cam Mini 2,1,129.99,129.99,Europe,Credit Card,5,Works perfectly and is incredibly well-made.
P164,10164,2024-06-12,Home Appliances,Bread Maker,1,80.0,80.0,Asia,Debit Card,4,Love it! The design is great and it's very effective.
P165,10165,2024-06-13,Clothing,Spanx Faux Leather Leggings,1,98.0,98.0,North America,Credit Card,0,Fell apart after just one use. Absolute junk.
P166,10166,2024-06-14,Books,Little Fires Everywhere,3,14.0,42.0,Europe,PayPal,4,Works perfectly and is incredibly well-made.
P167,10167,2024-06-15,Beauty Products,Kosas Revealer Concealer,1,28.0,28.0,Asia,Credit Card,2,I have mixed feelings about this product.
P168,10168,2024-06-16,Sports,Black Diamond Climbing Harness,1,59.95,59.95,North America,Debit Card,0,A complete failure. I had to return it.
P169,10169,2024-06-17,Electronics,TP-Link Archer AX21 Router,1,99.99,99.99,Europe,Credit Card,5,A truly wonderful product. I'm very impressed.
P170,10170,2024-06-18,Home Appliances,Electric Can Opener,2,15.0,30.0,Asia,PayPal,4,Brilliant! I would definitely buy this again.
P171,10171,2024-06-19,Clothing,Alo Yoga Moto Legging,1,114.0,114.0,North America,Credit Card,1,The quality is shocking. Avoid this product.
P172,10172,2024-06-20,Books,The Vanishing Half,2,16.2,32.4,Europe,Debit Card,5,A perfect product. Does everything it promises.
P173,10173,2024-06-21,Beauty Products,Summer Fridays Jet Lag Mask,1,48.0,48.0,Asia,Credit Card,0,Very disappointed with the quality. Broke almost immediately.
P174,10174,2024-06-22,Sports,Burton Custom Snowboard,1,599.95,599.95,North America,PayPal,5,Love it! The design is great and it's very effective.
P175,10175,2024-06-23,Electronics,Wyze Cam v3,3,35.98,107.94,Europe,Credit Card,4,Love it! The design is great and it's very effective.
P176,10176,2024-06-24,Home Appliances,Smart Plug,4,12.99,51.96,Asia,Debit Card,4,Excellent quality and value. Highly recommend.
P177,10177,2024-06-25,Clothing,Gildan T-shirt,10,5.0,50.0,North America,Credit Card,0,The item arrived damaged and unusable.
P178,10178,2024-06-26,Books,Circe by Madeline Miller,3,15.99,47.97,Europe,PayPal,4,Absolutely fantastic! Exceeded all my expectations.
P179,10179,2024-06-27,Beauty Products,Ilia Super Serum Skin Tint,1,48.0,48.0,Asia,Credit Card,5,A truly wonderful product. I'm very impressed.
P180,10180,2024-06-28,Sports,Petzl Grigri Belay Device,1,109.95,109.95,North America,Debit Card,5,Excellent quality and value. Highly recommend.
P181,10181,2024-06-29,Electronics,Elgato Stream Deck,1,149.99,149.99,Europe,Credit Card,0,I regret buying this. It's of very low quality.
P182,10182,2024-06-30,Home Appliances,Smart Light Bulbs,4,39.99,159.96,Asia,PayPal,5,Five stars! The best purchase I've made this year.
P183,10183,2024-07-01,Clothing,Champion Sweatshirt,2,50.0,100.0,North America,Credit Card,5,A perfect product. Does everything it promises.
P184,10184,2024-07-02,Books,The Song of Achilles,2,14.99,29.98,Europe,Debit Card,0,A terrible experience. The product is not as described.
P185,10185,2024-07-03,Beauty Products,Rare Beauty Soft Pinch Liquid Blush,1,20.0,20.0,Asia,Credit Card,5,Five stars! The best purchase I've made this year.
P186,10186,2024-07-04,Sports,La Sportiva Solution Climbing Shoes,1,180.0,180.0,North America,PayPal,5,Brilliant! I would definitely buy this again.
P187,10187,2024-07-05,Electronics,Blue Yeti USB Microphone,1,129.99,129.99,Europe,Credit Card,2,The product is average. Met my basic needs.
P188,10188,2024-07-06,Home Appliances,Air Purifier,1,150.0,150.0,Asia,Debit Card,4,Top-notch quality. You won't be disappointed.
P189,10189,2024-07-07,Clothing,Carhartt Beanie,3,16.99,50.97,North America,Credit Card,0,The quality is shocking. Avoid this product.
P190,10190,2024-07-08,Books,Normal People by Sally Rooney,3,13.0,39.0,Europe,PayPal,4,A perfect product. Does everything it promises.
P191,10191,2024-07-09,Beauty Products,Saie Slip Tint,1,32.0,32.0,Asia,Credit Card,4,Works perfectly and is incredibly well-made.
P192,10192,2024-07-10,Sports,Hydro Flask Wide Mouth Bottle,1,44.95,44.95,North America,Debit Card,0,The item arrived damaged and unusable.
P193,10193,2024-07-11,Electronics,Netgear Nighthawk Router,1,199.99,199.99,Europe,Credit Card,2,Not bad, but not great either. It's just fine.
P194,10194,2024-07-12,Home Appliances,Robot Mop,1,250.0,250.0,Asia,PayPal,4,Top-notch quality. You won't be disappointed.
P195,10195,2024-07-13,Clothing,Fjallraven Kanken Backpack,1,80.0,80.0,North America,Credit Card,5,Brilliant! I would definitely buy this again.
P196,10196,2024-07-14,Books,The Midnight Library,2,15.6,31.2,Europe,Debit Card,0,A terrible experience. The product is not as described.
P197,10197,2024-07-15,Beauty Products,Tower 28 SOS Daily Rescue Facial Spray,1,28.0,28.0,Asia,Credit Card,5,Five stars! The best purchase I've made this year.
P198,10198,2024-07-16,Sports,Arc'teryx Beta AR Jacket,1,599.0,599.0,North America,PayPal,5,Love it! The design is great and it's very effective.
P199,10199,2024-07-17,Electronics,SteelSeries Apex Pro Keyboard,1,199.99,199.99,Europe,Credit Card,3,It works as described, but the quality is just so-so.
P200,10200,2024-07-18,Home Appliances,Smart Scale,1,50.0,50.0,Asia,Debit Card,1,I regret buying this. It's of very low quality.
P201,10201,2024-07-19,Clothing,Herschel Supply Co. Backpack,2,69.99,139.98,North America,Credit Card,1,Does not work as advertised. Extremely frustrating.
P202,10202,2024-07-20,Books,Where the Wild Things Are,4,8.99,35.96,Europe,PayPal,4,Brilliant! I would definitely buy this again.
