Product ID,Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method,Rating,Reviews
P001,10001,2024-01-01,Electronics,iPhone 14 Pro,2,999.99,1999.98,North America,Credit Card,4.8,"""Excellent camera and battery life"""
P106,10106,2024-04-15,Books,The Girl on the Train by Paula Hawkins,4,10.99,43.96,North America,Credit Card,4.2,"""Suspenseful thriller"," engaging"""
P107,10107,2024-04-16,Beauty Products,The Ordinary Niacinamide Serum,1,6.5,6.5,Europe,PayPal,4.3,"""Effective for blemishes"," affordable"""
P108,10108,2024-04-17,Sports,Bowflex SelectTech 552 Dumbbells,1,399.99,399.99,Asia,Credit Card,4.7,"""Space-saving"," adjustable weights"""
P109,10109,2024-04-18,Electronics,Google Nest Hub Max,2,229.99,459.98,North America,Credit Card,4.4,"""Useful smart display"," good speaker"""
P110,10110,2024-04-19,Home Appliances,Cuisinart Griddler Deluxe,1,159.99,159.99,Europe,PayPal,4.3,"""Versatile cooking"," easy to clean"""
P111,10111,2024-04-20,Clothing,Old Navy Relaxed-Fit T-Shirt,4,14.99,59.96,Asia,Debit Card,4.0,"""Comfortable casual shirt"""
P112,10112,2024-04-21,Books,Sapiens: A Brief History of Humankind by Yuval Noah Harari,2,18.99,37.98,North America,Credit Card,4.7,"""Fascinating perspective on human history"""
P113,10113,2024-04-22,Beauty Products,Biore UV Aqua Rich Watery Essence Sunscreen,1,15,15,Europe,PayPal,4.5,"""Lightweight"," no white cast"""
P114,10114,2024-04-23,Sports,Fitbit Versa 3,3,229.95,689.85,Asia,Credit Card,4.4,"""Good fitness tracking"," smart features"""
P115,10115,2024-04-24,Electronics,Amazon Echo Show 10,1,249.99,249.99,North America,Credit Card,4.3,"""Useful smart display"," follows voice"""
P116,10116,2024-04-25,Home Appliances,Breville Smart Grill,2,299.95,599.9,Europe,PayPal,4.5,"""Even heating"," easy temperature control"""
P117,10117,2024-04-26,Clothing,Gap High Rise Skinny Jeans,3,49.99,149.97,Asia,Debit Card,4.2,"""Comfortable fit"," flattering"""
P118,10118,2024-04-27,Books,Atomic Habits by James Clear,4,16.99,67.96,North America,Credit Card,4.8,"""Practical advice for building good habits"""
P119,10119,2024-04-28,Beauty Products,CeraVe Hydrating Facial Cleanser,2,14.99,29.98,Europe,PayPal,4.4,"""Gentle cleansing"," doesn't strip skin"""
P120,10120,2024-04-29,Sports,YETI Hopper Flip Portable Cooler,1,249.99,249.99,Asia,Credit Card,4.6,"""Keeps ice for days"," durable"""
P121,10121,2024-04-30,Electronics,Apple iPad Air,2,599.99,1199.98,North America,Credit Card,4.7,"""Powerful tablet"," versatile usage"""
P122,10122,2024-05-01,Home Appliances,Hamilton Beach FlexBrew Coffee Maker,1,89.99,89.99,Europe,PayPal,4.2,"""Flexible brewing options"," reliable"""
P123,10123,2024-05-02,Clothing,Forever 21 Graphic Tee,5,12.99,64.95,Asia,Debit Card,3.9,"""Trendy designs"," average quality"""
P124,10124,2024-05-03,Books,The Subtle Art of Not Giving a F*ck by Mark Manson,3,14.99,44.97,North America,Credit Card,4.3,"""Refreshing perspective on priorities"""
P125,10125,2024-05-04,Beauty Products,NARS Radiant Creamy Concealer,1,30,30,Europe,PayPal,4.6,"""Good coverage"," natural finish"""
P126,10126,2024-05-05,Sports,Yeti Roadie 24 Cooler,1,199.99,199.99,Asia,Credit Card,4.5,"""Durable construction"," good insulation"""
P127,10127,2024-05-06,Electronics,Sony PlayStation 5,1,499.99,499.99,North America,Credit Card,4.8,"""Next-gen gaming"," fast loading"""
P128,10128,2024-05-07,Home Appliances,Dyson Supersonic Hair Dryer,2,399.99,799.98,Europe,PayPal,4.7,"""Fast drying"," reduces frizz"""
P129,10129,2024-05-08,Clothing,Lululemon Align Leggings,3,98,294,Asia,Debit Card,4.8,"""Buttery soft"," comfortable for yoga"""
P130,10130,2024-05-09,Books,The Four Agreements by Don Miguel Ruiz,2,8.99,17.98,North America,Credit Card,4.5,"""Simple but powerful wisdom"""
P131,10131,2024-05-10,Beauty Products,Fenty Beauty Killawatt Highlighter,1,36,36,Europe,PayPal,4.4,"""Beautiful glow"," buildable intensity"""
P132,10132,2024-05-11,Sports,Hydro Flask Wide Mouth Water Bottle,4,39.95,159.8,Asia,Credit Card,4.6,"""Keeps temperature well"," durable"""
P133,10133,2024-05-12,Electronics,Microsoft Surface Laptop 4,1,1299.99,1299.99,North America,Credit Card,4.6,"""Sleek design"," good performance"""
P134,10134,2024-05-13,Home Appliances,Keurig K-Mini Coffee Maker,2,79.99,159.98,Europe,PayPal,4.2,"""Compact size"," simple operation"""
P135,10135,2024-05-14,Clothing,Gap Crewneck Sweatshirt,4,34.99,139.96,Asia,Debit Card,4.1,"""Comfortable"," good for casual wear"""
P136,10136,2024-05-15,Books,Think and Grow Rich by Napoleon Hill,3,9.99,29.97,North America,Credit Card,4.4,"""Classic personal development book"""
P137,10137,2024-05-16,Beauty Products,The Ordinary Hyaluronic Acid Serum,1,6.8,6.8,Europe,PayPal,4.3,"""Hydrating"," affordable"""
P138,10138,2024-05-17,Sports,Fitbit Inspire 2,2,99.95,199.9,Asia,Credit Card,4.2,"""Basic fitness tracking"," simple interface"""
P139,10139,2024-05-18,Electronics,Samsung Odyssey G9 Gaming Monitor,1,1499.99,1499.99,North America,Credit Card,4.7,"""Immersive curved display"," high refresh rate"""
P140,10140,2024-05-19,Home Appliances,Instant Pot Ultra,1,139.99,139.99,Europe,PayPal,4.4,"""Versatile cooking"," easy to use"""
P141,10141,2024-05-20,Clothing,Adidas Essential Track Pants,3,44.99,134.97,Asia,Debit Card,4.3,"""Comfortable for workouts and lounging"""
P142,10142,2024-05-21,Books,The Power of Habit by Charles Duhigg,2,11.99,23.98,North America,Credit Card,4.5,"""Insightful look at habit formation"""
P143,10143,2024-05-22,Beauty Products,Clinique Dramatically Different Moisturizing Lotion,1,29.5,29.5,Europe,PayPal,4.2,"""Hydrating without greasy feel"""
P144,10144,2024-05-23,Sports,YETI Tundra 45 Cooler,1,299.99,299.99,Asia,Credit Card,4.7,"""Excellent ice retention"," durable"""
P145,10145,2024-05-24,Electronics,Apple AirPods Max,1,549,549,North America,Credit Card,4.7,"""Premium sound quality"," comfortable"""
P146,10146,2024-05-25,Home Appliances,Cuisinart Coffee Center,2,199.95,399.9,Europe,PayPal,4.4,"""Multiple brewing options"," consistent"""
P147,10147,2024-05-26,Clothing,Levi's Sherpa Trucker Jacket,2,98,196,Asia,Debit Card,4.5,"""Warm and stylish"," versatile"""
P148,10148,2024-05-27,Books,The Outsiders by S.E. Hinton,3,10.99,32.97,North America,Credit Card,4.4,"""Coming-of-age classic"," emotional"""
P149,10149,2024-05-28,Beauty Products,Laneige Water Sleeping Mask,1,25,25,Europe,PayPal,4.3,"""Hydrating overnight treatment"""
P150,10150,2024-05-29,Sports,Bose SoundSport Wireless Earbuds,2,149.99,299.98,Asia,Credit Card,4.4,"""Comfortable fit"," good sound"""
P151,10151,2024-05-30,Electronics,Sony WH-1000XM4 Headphones,1,349.99,349.99,North America,Credit Card,4.7,"""Excellent noise cancellation"," comfortable"""
P152,10152,2024-05-31,Home Appliances,Ninja Foodi Pressure Cooker,2,199.99,399.98,Europe,PayPal,4.5,"""Multiple functions"," saves time"""
P153,10153,2024-06-01,Clothing,Nike Sportswear Club Fleece Hoodie,3,54.99,164.97,Asia,Debit Card,4.4,"""Comfortable"," good quality hoodie"""
P154,10154,2024-06-02,Books,The Night Circus by Erin Morgenstern,2,16.99,33.98,North America,Credit Card,4.5,"""Magical atmosphere"," beautiful writing"""
P155,10155,2024-06-03,Beauty Products,GlamGlow Supermud Clearing Treatment,1,59,59,Europe,PayPal,4.2,"""Deep cleansing"," reduces pores"""
P156,10156,2024-06-04,Sports,Garmin Forerunner 245,1,299.99,299.99,Asia,Credit Card,4.5,"""Accurate running metrics"," good battery"""
P157,10157,2024-06-05,Electronics,Google Pixel 6 Pro,1,899.99,899.99,North America,Credit Card,4.6,"""Excellent camera"," smooth performance"""
P158,10158,2024-06-06,Home Appliances,Breville Nespresso Creatista Plus,1,499.95,499.95,Europe,PayPal,4.7,"""Professional-quality coffee at home"""
P159,10159,2024-06-07,Clothing,Under Armour Tech 2.0 T-Shirt,4,24.99,99.96,Asia,Debit Card,4.1,"""Moisture-wicking"," good for workouts"""
P160,10160,2024-06-08,Books,The Art of War by Sun Tzu,3,7.99,23.97,North America,Credit Card,4.4,"""Timeless strategy lessons"""
P161,10161,2024-06-09,Beauty Products,Youth to the People Superfood Antioxidant Cleanser,1,36,36,Europe,PayPal,4.3,"""Gentle cleansing"," refreshing feel"""
P162,10162,2024-06-10,Sports,TriggerPoint GRID Foam Roller,2,34.99,69.98,Asia,Credit Card,4.4,"""Effective muscle recovery"," versatile"""
P163,10163,2024-06-11,Electronics,Apple MacBook Air,1,1199.99,1199.99,North America,Credit Card,4.7,"""Lightweight", powerful," long battery"""
P164,10164,2024-06-12,Home Appliances,Cuisinart Custom 14-Cup Food Processor,1,199.99,199.99,Europe,PayPal,4.5,"""Powerful processing"," versatile attachments"""
P165,10165,2024-06-13,Clothing,Adidas 3-Stripes Shorts,5,29.99,149.95,Asia,Debit Card,4.2,"""Comfortable for sports"," good fit"""
P166,10166,2024-06-14,Books,The Hunger Games by Suzanne Collins,4,8.99,35.96,North America,Credit Card,4.6,"""Engaging dystopian adventure"""
P167,10167,2024-06-15,Beauty Products,Neutrogena Hydro Boost Water Gel,1,16.99,16.99,Europe,PayPal,4.2,"""Lightweight hydration"," absorbs quickly"""
P168,10168,2024-06-16,Sports,Yeti Rambler Bottle,3,49.99,149.97,Asia,Credit Card,4.6,"""Keeps drinks cold/hot for hours"""
P169,10169,2024-06-17,Electronics,Samsung Odyssey G7 Gaming Monitor,1,699.99,699.99,North America,Credit Card,4.6,"""Fast response time"," curved display"""
P170,10170,2024-06-18,Home Appliances,Instant Pot Duo Evo Plus,2,139.99,279.98,Europe,PayPal,4.4,"""Improved features"," easy to use"""
P171,10171,2024-06-19,Clothing,Nike Tempo Running Shorts,3,34.99,104.97,Asia,Debit Card,4.3,"""Lightweight"," comfortable for running"""
P172,10172,2024-06-20,Books,The Girl with the Dragon Tattoo by Stieg Larsson,2,9.99,19.98,North America,Credit Card,4.5,"""Dark mystery"," compelling characters"""
P173,10173,2024-06-21,Beauty Products,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,1,29.5,29.5,Europe,PayPal,4.6,"""Effective exfoliation"," reduces pores"""
P174,10174,2024-06-22,Sports,Bowflex SelectTech 1090 Adjustable Dumbbells,1,699.99,699.99,Asia,Credit Card,4.7,"""Space-saving"," wide weight range"""
P175,10175,2024-06-23,Electronics,Amazon Fire TV Stick 4K,3,49.99,149.97,North America,Credit Card,4.4,"""Easy streaming upgrade for any TV"""
P176,10176,2024-06-24,Home Appliances,Crock-Pot 6-Quart Slow Cooker,2,49.99,99.98,Europe,PayPal,4.3,"""Simple operation"," consistent results"""
P177,10177,2024-06-25,Clothing,Uniqlo Airism Mesh Boxer Briefs,4,14.9,59.6,Asia,Debit Card,4.2,"""Breathable"," comfortable for warm weather"""
P178,10178,2024-06-26,Books,The Sun Also Rises by Ernest Hemingway,3,11.99,35.97,North America,Credit Card,4.3,"""Classic literature"," sparse writing style"""
P179,10179,2024-06-27,Beauty Products,First Aid Beauty Ultra Repair Cream,2,34,68,Europe,PayPal,4.5,"""Soothing for dry"," sensitive skin"""
P180,10180,2024-06-28,Sports,Oakley Holbrook Sunglasses,1,146,146,Asia,Credit Card,4.4,"""Stylish"," good UV protection"""
P181,10181,2024-06-29,Electronics,Google Pixelbook Go,1,649.99,649.99,North America,Credit Card,4.5,"""Lightweight Chromebook"," good battery"""
P182,10182,2024-06-30,Home Appliances,Dyson V8 Absolute,1,399.99,399.99,Europe,PayPal,4.6,"""Powerful cordless vacuum"," good runtime"""
P183,10183,2024-07-01,Clothing,Levi's 511 Slim Fit Jeans,3,59.99,179.97,Asia,Debit Card,4.4,"""Slim fit"," comfortable denim"""
P184,10184,2024-07-02,Books,The Martian by Andy Weir,2,12.99,25.98,North America,Credit Card,4.7,"""Scientific problem-solving"," entertaining"""
P185,10185,2024-07-03,Beauty Products,La Mer Crème de la Mer Moisturizer,1,190,190,Europe,PayPal,4.5,"""Luxurious hydration"," rich texture"""
